ind,date,tbstat,tbstat.yng,tbstat.ad,sex,age.known,age,season,year,socg,weight,toothwear,condition,body.length,temp,dam,young,age.sq,age.cb,unique ,body.length.est,smi
001A,20/05/2014,0,0,NA,1,0,0,Spring,2014,CEDAR,2.6,0,FAIR,58,37.3,033K,1,0,0,001A41779,58,9.11086165
001B,25/01/2006,0,NA,NA,2,NA,4.066,Winter,2006,PARK_MILL,6.9,0.25,GOOD,80,37.2,NA,NA,16.532,67.221,001B38742,80,6.538545094
001B,24/05/2006,0,NA,NA,2,NA,4.066,Spring,2006,PARK_MILL,7.9,0.25,GOOD,84,37.9,NA,NA,16.532,67.221,001B38861,84,6.138892396
001B,05/05/2009,0,NA,NA,2,NA,4.066,Spring,2009,PARK_MILL,8,0.75,POOR,86.5,38.4,NA,NA,16.532,67.221,001B39938,86.5,5.517685446
001E,21/05/2013,1,1,NA,1,0,0,Spring,2013,WEST,2.8,0,FAIR,59,38.1,NA,1,0,0,001E41415,59,9.152787475
001F,19/01/2010,0,NA,NA,2,NA,4.066,Winter,2010,COLLIERS_WOOD,8.3,0.25,GOOD,80,36.9,NA,NA,16.532,67.221,001F40197,80,7.865206418
001F,24/05/2010,1,NA,NA,2,NA,4.066,Spring,2010,COLLIERS_WOOD,7.1,0.25,FAIR,81,38.4,NA,NA,16.532,67.221,001F40322,81,6.396623166
001F,21/09/2010,1,NA,NA,2,NA,4.066,Autumn,2010,COLLIERS_WOOD,8.4,0.25,GOOD,83,37.9,NA,NA,16.532,67.221,001F40442,83,6.853202453
001G,08/01/2003,0,NA,NA,2,NA,4.066,Winter,2003,FIELD_FARM,11.7,0.5,VGOOD,87.5,37.9,NA,NA,16.532,67.221,001G37629,87.5,7.701093614
001K,24/01/2012,0,NA,NA,2,NA,4.066,Winter,2012,BREAKHEART,7.8,0.25,GOOD,80.5,37.3,NA,NA,16.532,67.221,001K40932,80.5,7.206472936
001K,27/06/2012,0,NA,NA,2,NA,4.066,Summer,2012,BREAKHEART,7.7,0.25,FAIR,85,38.5,NA,NA,16.532,67.221,001K41087,85,5.702333675
001K,13/08/2013,1,NA,NA,2,NA,4.066,Summer,2013,BREAKHEART,7.7,0.25,FAIR,84,37.9,NA,NA,16.532,67.221,001K41499,84,5.983477398
001K,03/06/2014,1,NA,NA,2,NA,4.066,Summer,2014,YEW,8.1,0.75,POOR,84,37.7,NA,NA,16.532,67.221,001K41793,84,6.294307393
001L,25/01/2011,1,NA,NA,1,NA,4.066,Winter,2011,INCHBROOK,7.4,0.25,GOOD,76,38.1,NA,NA,16.532,67.221,001L40568,76,8.638805063
001L,26/06/2012,1,NA,NA,1,NA,4.066,Summer,2012,INCHBROOK,7.1,0.25,GOOD,78,38.5,NA,NA,16.532,67.221,001L41086,78,7.457694245
001L,13/08/2013,1,NA,NA,1,NA,4.066,Summer,2013,INCHBROOK,7,0.25,GOOD,76,38.2,NA,NA,16.532,67.221,001L41499,76,8.171842627
001L,10/09/2014,1,NA,NA,1,NA,4.066,Autumn,2014,INCHBROOK,8.1,0.5,GOOD,77,38.4,NA,NA,16.532,67.221,001L41892,77,8.966442284
001N,27/01/2009,1,NA,NA,2,NA,4.066,Winter,2009,CEDAR,7.1,0.25,GOOD,79,37.5,NA,NA,16.532,67.221,001N39840,79,7.08118553
001N,23/03/2009,NA,NA,NA,2,NA,4.066,Spring,2009,NA,5,NA,POOR,NA,NA,NA,NA,16.532,67.221,001N39895,79,#VALUE!
